s,AgentsInside,AgentsInsideMesh,ExitCounter,ExitCounter,ExitCounter,ExitCounter,TargetExitCounter,TargetExitCounter,TargetExitCounter,TargetExitCounter,Agents,FED_Index,FED_Index
EVAC_Time,AllAgents,MainEvacGrid,Exit1,Exit2,Exit3,Exit4,Exit1,Exit2,Exit3,Exit4,Number_of_Deads,FED_max,FED_max_alive
 5.00000E+001,      38,      38,       0,       0,      26,      16,       0,       0,       5,       0,       0, 0.00000E+000, 0.00000E+000
 5.10000E+001,      38,      38,       0,       0,      26,      16,       0,       0,       7,       0,       0, 0.00000E+000, 0.00000E+000
 5.20000E+001,      38,      38,       0,       0,      26,      16,       0,       0,       7,       0,       0, 0.00000E+000, 0.00000E+000
 5.30000E+001,      37,      37,       0,       0,      27,      16,       0,       0,       7,       0,       0, 7.60133E-006, 7.60133E-006
 5.40000E+001,      37,      37,       0,       0,      27,      16,       0,       0,       7,       0,       0, 1.68713E-005, 1.68713E-005
 5.50000E+001,      36,      36,       0,       0,      28,      16,       0,       0,       7,       0,       0, 2.69903E-005, 2.69903E-005
 5.60000E+001,      36,      36,       0,       0,      28,      16,       0,       0,       7,       0,       0, 3.71178E-005, 3.71178E-005
 5.70000E+001,      35,      35,       0,       0,      29,      16,       0,       0,       6,       0,       0, 3.73379E-005, 3.73379E-005
 5.80000E+001,      35,      35,       0,       0,      29,      16,       0,       0,       6,       0,       0, 3.73379E-005, 3.73379E-005
 5.90000E+001,      35,      35,       0,       0,      29,      16,       0,       0,       7,       0,       0, 4.54054E-005, 4.54054E-005
 6.00000E+001,      35,      35,       0,       0,      29,      16,       0,       0,       9,       0,       0, 5.65548E-005, 5.65548E-005
 6.10000E+001,      34,      34,       0,       0,      30,      16,       0,       0,       9,       0,       0, 7.06038E-005, 7.06038E-005
 6.20000E+001,      34,      34,       0,       0,      30,      16,       0,       0,      10,       0,       0, 8.55590E-005, 8.55590E-005
 6.30000E+001,      33,      33,       0,       0,      31,      16,       0,       0,      10,       0,       0, 1.01954E-004, 1.01954E-004
 6.40000E+001,      33,      33,       0,       0,      31,      16,       0,       0,      11,       0,       0, 1.19350E-004, 1.19350E-004
